name,state,country,latitude,longitude,population
Volgograd,,Russian Federation,48.7098404,44.5155471,50000
Perm,,Russian Federation,58.0149643,56.2467244,50000
Saratov,,Russian Federation,51.5499459,46.0043221,50000
Voronezh,,Russian Federation,51.6548797,39.212949,50000
Tolyatti,,,53.514949,49.4075734,50000
Krasnodar,,Russian Federation,45.0354329,38.9757116,50000
Yaroslavl,,Russian Federation,57.6263877,39.8933705,50000
Barnaul,,Russian Federation,53.3474212,83.7784296,50000
Irkutsk,,Russian Federation,52.2895979,104.2805843,50000
Novokuznetsk,,Russian Federation,53.7589831,87.1375029,50000
Orenburg,,Russian Federation,51.7673939,55.0971307,50000
Ryazan,,Russian Federation,54.6295687,39.7425039,50000
Penza,,Russian Federation,53.2,45.0,50000
Tyumen,,Russian Federation,57.1535343,65.5422759,50000
Nizhny Novgorod,,Russian Federation,56.3278821,44.0072897,50000
Brăila,,,45.2715045,27.9743799,50000
Focșani,,,45.6971016,27.1856921,50000
Västerås,,,59.6110996,16.5463648,50000
Bishkek,,,42.8767228,74.6070383,50000
Tashkent,,,41.3123363,69.2787079,50000
Semipalatinsk,,,50.4050281,80.2491769,50000
Houston,,United States,29.7589382,-95.3676974,50000
Dushanbe,,Tajikistan,38.5346847,68.7801624,50000
Ulaanbaatar,,,47.9184676,106.9177016,50000
Astana,,,51.1282789,71.4305478,50000
Hamedan,,,34.7987689,48.5109696,50000
Östersund,,,63.1793655,14.6357061,50000
Luleå,,,65.5831352,22.1460134,50000
Härnösand,,,62.6323084,17.9379914,50000
Niamey,,Niger,13.5158988,2.1178034,50000
Luanda,Luanda,Angola,-8.8169602,13.2381607,50000
Constantine,,Algeria,36.3612367,6.6110207,50000
Bamako,,Mali,12.6500083,-8.0000014,50000
"Suez, Al Suweis, Al Suways",,,29.9744982,32.5370865,50000
Tunis,,,36.8001077,10.1847938,50000
Lubumbashi,,,-11.6656429,27.4862465,50000
Port Said,,,31.263235,32.3055053,50000
Bulawayo,Bulawayo Province,Zimbabwe,-20.1549019,28.5866677,50000
Monrovia,Montserrado County,Liberia,6.3279815,-10.79777,50000
Matola,,,-25.9669168,32.4669563,50000
Bangui,,Central African Republic,4.3909085,18.5505422,50000
Lusaka,Lusaka Province,Zambia,-15.4166967,28.2813812,50000
Durban,KwaZulu-Natal,South Africa,-29.8541667,31.05,50000
Ouagadougou,,Burkina Faso,12.3690127,-1.5220077,50000
Warri,Delta,Nigeria,5.517,5.75,50000
Bouaké,,,7.6906058,-5.0298408,50000
Alexandria,,,31.1990035,29.8943785,50000
N'Djamena,,,12.1191543,15.0502758,50000
Dar es Salaam,,,-6.8142737,39.2803756,50000
Mbuji-Mayi,,,-6.1499956,23.5999985,50000
Oyo,Oyo,Nigeria,7.8410537,3.9315363,50000
Dakar,,,14.6930042,-17.447026,50000
Soweto,Gauteng,South Africa,-26.2227778,27.89,50000
Lilongwe,Lilongwe,Malawi,-13.9859979,33.78008,50000
Ogbomosho,Oyo,Nigeria,8.133,4.25,50000
Freetown,Western Area Urban,Sierra Leone,8.4790017,-13.2680158,50000
Conakry,,,9.5171253,-13.6999235,50000
Port Harcourt,Rivers,Nigeria,4.7676576,7.0188527,50000
Ibadan,Oyo,Nigeria,7.3786064,3.8969928,50000
Libreville,Estuaire,Gabon,0.3900022,9.4540009,50000
Addis Abeba,,,9.0107934,38.7612525,50000
Agadir,,,30.4218772,-9.5850476,50000
Accra,Greater Accra Region,Ghana,5.5600141,-0.2057437,50000
Maputo,,,-25.9662133,32.5674498,50000
Djibouti,,,11.5936902,43.1471135,50000
Ilorin,Kwara,Nigeria,8.4963657,4.5480484,50000
